"probeID" "BETA" "SE" "P_VAL"
"1" "cg13869341" -0.00122301552009316 0.00605448593067442 0.839915515322564
"2" "cg24669183" 0.000578604760130676 0.0104006575947785 0.955635325775708
"3" "cg15560884" -0.00901679429645756 0.00603305022348477 0.135027634431192
"4" "cg01014490" 0.000135776992632452 0.000359533298359987 0.705692181241114
"5" "cg17505339" 0.00125238705928075 0.00125737014543124 0.319232217617451
"6" "cg11954957" -0.00903417343758885 0.0105218628264385 0.390555887182763
"7" "cg16736630" -0.00847881018044579 0.00868051788904136 0.328686412825237
"8" "cg05898754" -0.0114660569364216 0.00635453061042949 0.0711700552991332
"9" "cg03128332" 0.000131710199482592 0.00480077950964017 0.978112647609914
"10" "cg16619049" -0.0102984372584651 0.0127036509847806 0.417556629608343
"11" "cg05475702" -0.0131835872640172 0.00650489047970856 0.0426911246448721
"12" "cg18147296" -0.00319863707306788 0.0060142813311072 0.594836621514216
"13" "cg05597748" 0.00278257285257453 0.00750125619716174 0.710676573673241
"14" "cg10988531" 0.0115130683399506 0.0050537750709889 0.0227198735897249
"15" "cg13938959" 0.00421248423069871 0.0136990541441052 0.758461429651324
"16" "cg12445832" -0.0115334444601606 0.0120176096319264 0.337200170169022
"17" "cg23999112" -0.0135966963454231 0.0152798333983405 0.373548663081411
"18" "cg11527153" -0.00174363851657468 0.00252293356739039 0.489492954718258
"19" "cg04195702" -0.00861473458418241 0.00861105924536316 0.31710399793594
"20" "cg08128007" 0.00657122997162735 0.0149042090920974 0.659287133510019
"21" "cg23733394" -0.017909759549873 0.00969065011340531 0.0645808769669724
"22" "cg13371836" 0.000483152793007175 0.000355723058893713 0.174391549860023
"23" "cg04407431" 6.13912588071897e-05 0.000307932776981492 0.841976625379526
"24" "cg13565718" 0.00534559277214619 0.00228212190400536 0.0191612831616591
"25" "cg01097950" -0.00169456127211214 0.00937899978616673 0.856621805331866
"26" "cg08900511" 0.00192802928280582 0.0062486667828501 0.757663477105971
"27" "cg04410003" 0.00132928846287617 0.0128180764324019 0.917404087263726
"28" "cg12726839" -0.00780789114862389 0.0148179221706815 0.598247663585324
