"probeID" "BETA" "SE" "P_VAL"
"1" "cg13869341" 0.00113640479983364 0.00963113128153573 0.906073309096263
"2" "cg24669183" -0.0295105946089182 0.0150948404044624 0.0505816501551891
"3" "cg15560884" 0.00232510627603938 0.00638784678105962 0.715866186815538
"4" "cg01014490" 0.000177739668073254 0.00100146118770993 0.859131109647903
"5" "cg17505339" 0.00264780467889267 0.00168465394067577 0.116015448439772
"6" "cg11954957" 0.00534421927644442 0.0128043931647615 0.676404955938554
"7" "cg16736630" 0.000898730836492602 0.00702076407724489 0.89814074064375
"8" "cg05898754" 0.00879006700283353 0.00726269144431978 0.226162131488035
"9" "cg03128332" 0.0031793864471757 0.005610980123298 0.570961133908971
"10" "cg16619049" -0.0152535843377975 0.0138678074415547 0.271363662446069
"11" "cg05475702" -0.00157571353756638 0.010745478138894 0.883416427563237
"12" "cg18147296" -0.0135019409418822 0.0109034555381354 0.215598318721183
"13" "cg05597748" -0.00084518518436188 0.0116828833790904 0.942328240121128
"14" "cg10988531" 0.000154486178176826 0.00805801344809651 0.984704097767683
"15" "cg13938959" -0.004295731167787 0.0170765279512863 0.801382999787799
"16" "cg12445832" 0.00509423099664183 0.0134560677216644 0.704997961523729
"17" "cg23999112" -0.00568133451434894 0.0211631954791413 0.788350240740064
"18" "cg11527153" -0.00141955804939786 0.00567912409627383 0.802617711632962
"19" "cg04195702" -0.00118639799573791 0.0113857297921896 0.917010288870413
"20" "cg08128007" -0.0201567306954815 0.0234233238547746 0.389490889123979
"21" "cg23733394" 0.0017579884217912 0.0151993610465568 0.907920427614541
"22" "cg13371836" 0.000246284024972652 0.000443456658642121 0.578639294213365
"23" "cg04407431" 0.000265193346945527 0.000378914695590844 0.484004671860596
"24" "cg13565718" 0.000620019562076954 0.00351325744010832 0.859916884575813
"25" "cg01097950" -0.00894191368533232 0.0129606004341675 0.490237887240308
"26" "cg08900511" -0.00426349024328616 0.0103456027239553 0.680261356541063
"27" "cg04410003" 0.0103895581004965 0.0139190007128185 0.455407771973946
